,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,tweets_id,activity_level_frequency,activity_level,user_char
0,3108351,Wall Street Journal,WSJ,"WSJ is a verified Twitter account based in New York, NY, providing breaking news and features from The Wall Street Journal. With 5,587,299 followers and 976 friends, the account showcases a high level of engagement, having tweeted 104,666 times and favorited content 1,066 times. The tweets are contributed by a team of writers including @rubinafillion, @elanazak, @allisonlichter, @sarahmarshall, @toddjolmstead, and @carlazanoni.",2007-04-01 06:22:13+0000,5587299,976,['374538632'],[],['Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. http://t.co/YPIlwckuuw'],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"WSJ is a verified Twitter account based in New York, NY, providing breaking news and features from The Wall Street Journal. With 5,587,299 followers and 976 friends, the account showcases a high level of engagement, having tweeted 104,666 times and favorited content 1,066 times. The tweets are contributed by a team of writers including @rubinafillion, @elanazak, @allisonlichter, @sarahmarshall, @toddjolmstead, and @carlazanoni."
1,2208746299,Antisthenes,AntisthenesCE,"AntisthenesCE is an active user from the Common Era, with a substantial following of 386 and a network of 1,398 friends. They have posted 5,671 updates and have favorited 2,444 tweets. Their account is not verified.",2013-11-22 10:21:37+0000,386,1398,['17561562'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"AntisthenesCE is an active user from the Common Era, with a substantial following of 386 and a network of 1,398 friends. They have posted 5,671 updates and have favorited 2,444 tweets. Their account is not verified."
2,229482248,So_Official,Mac_Roberts,"Mac_Roberts is a college graduate currently pursuing graduate studies in New Orleans. With a positive outlook reflected in their bio, they emphasize the importance of prayer and gratitude. They have a social presence with 183 friends and 122 followers, sharing their thoughts through 4,100 statuses and showing appreciation with 53 favorites. Their account is not verified.",2010-12-22 14:26:13+0000,122,183,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Mac_Roberts is a college graduate currently pursuing graduate studies in New Orleans. With a positive outlook reflected in their bio, they emphasize the importance of prayer and gratitude. They have a social presence with 183 friends and 122 followers, sharing their thoughts through 4,100 statuses and showing appreciation with 53 favorites. Their account is not verified."
3,20527491,Ranger Up / Nick,Ranger_Up,"Ranger_Up is a prominent figure in the military community based in Durham, NC. With an impressive following of 18,598 and a robust network of 831 friends, they engage actively on their platform, having posted 31,600 statuses and favorited 1,764 times. Despite their account not being verified, they proudly describe their bio as 'The Greatest Military Site on Earth,' reflecting their dedication to military-related content and discussions.",2009-02-10 17:18:57+0000,18598,831,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Ranger_Up is a prominent figure in the military community based in Durham, NC. With an impressive following of 18,598 and a robust network of 831 friends, they engage actively on their platform, having posted 31,600 statuses and favorited 1,764 times. Despite their account not being verified, they proudly describe their bio as 'The Greatest Military Site on Earth,' reflecting their dedication to military-related content and discussions."
4,277264910,Ben McDonald,BenMacB3,"BenMacB3 is an active user from Minneapolis with a vibrant online presence, boasting 2,588 statuses and a following of 68 people. Despite having 431 friends, their account is not verified. Their bio features the unique hashtag #BAZZITIVITY, suggesting a lively and engaging personality.",2011-04-05 01:14:33+0000,68,431,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"BenMacB3 is an active user from Minneapolis with a vibrant online presence, boasting 2,588 statuses and a following of 68 people. Despite having 431 friends, their account is not verified. Their bio features the unique hashtag #BAZZITIVITY, suggesting a lively and engaging personality."
5,38233752,Wilfredo Colón,wxixl,"User wxixl embraces integrity, valuing honorable failure over dishonest success, as inspired by a quote from Sophocles. They have a robust online presence with 8,010 statuses and a collection of 283 favorites, reflecting an active engagement on the platform. Although their account is not verified, they have built a network of 97 friends and 87 followers.",2009-05-06 17:46:31+0000,87,97,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User wxixl embraces integrity, valuing honorable failure over dishonest success, as inspired by a quote from Sophocles. They have a robust online presence with 8,010 statuses and a collection of 283 favorites, reflecting an active engagement on the platform. Although their account is not verified, they have built a network of 97 friends and 87 followers."
6,509601309,Tom Croke,TomCroke3,"TomCroke3 is a unique individual with a strong sense of individuality, as reflected in their bio, which highlights a humorous perspective on societal norms. They have an extensive social network, boasting 1994 friends and 380 followers. With a significant presence online, they have contributed 48,240 statuses and favorited 25,285 posts, showcasing their active engagement in social media. Despite not having a verified account, TomCroke3's distinct voice and prolific activity set them apart in the digital landscape.",2012-03-01 02:18:45+0000,380,1994,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"TomCroke3 is a unique individual with a strong sense of individuality, as reflected in their bio, which highlights a humorous perspective on societal norms. They have an extensive social network, boasting 1994 friends and 380 followers. With a significant presence online, they have contributed 48,240 statuses and favorited 25,285 posts, showcasing their active engagement in social media. Despite not having a verified account, TomCroke3's distinct voice and prolific activity set them apart in the digital landscape."
7,701094366,Fair for all,duesouth22,"User duesouth22 is a retired individual based in the USA, identified as an Independent Voter. Although their account is not verified, they maintain a substantial social presence with 393 friends and 353 followers. With a total of 23,593 statuses and 164 favorites, they actively engage in online discussions.",2012-07-17 13:53:32+0000,353,393,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User duesouth22 is a retired individual based in the USA, identified as an Independent Voter. Although their account is not verified, they maintain a substantial social presence with 393 friends and 353 followers. With a total of 23,593 statuses and 164 favorites, they actively engage in online discussions."
8,36226017,Erika,eeerikaaa,"User 'eeerikaaa' is a passionate individual from Brazil, known for their lyrical and introspective bio that reflects a deep connection to music and emotions. With a substantial following of 386 and a robust friends count of 900, they actively engage with their community, having posted 17,336 statuses and favorited 6,492 tweets. Despite not being verified, their presence is notable in the social media landscape.",2009-04-29 00:22:46+0000,386,900,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User 'eeerikaaa' is a passionate individual from Brazil, known for their lyrical and introspective bio that reflects a deep connection to music and emotions. With a substantial following of 386 and a robust friends count of 900, they actively engage with their community, having posted 17,336 statuses and favorited 6,492 tweets. Despite not being verified, their presence is notable in the social media landscape."
9,930970945,Evan Carr,EvanCarrIU,"EvanCarrIU is a dedicated student and professional based in Indianapolis, IN. With a background in Industrial/Organizational Psychology from IUPUI and currently attending the IU McKinney School of Law, Evan is deeply engaged in his academic pursuits. A proud Indiana Hoosier, he expresses his unique style through his love for Hawaiian shirts. Although not yet account verified, he has a solid social media presence with 157 friends and 162 followers, having shared 3,561 statuses and favorited 1,002 posts.",2012-11-07 01:47:11+0000,162,157,['3108351'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"EvanCarrIU is a dedicated student and professional based in Indianapolis, IN. With a background in Industrial/Organizational Psychology from IUPUI and currently attending the IU McKinney School of Law, Evan is deeply engaged in his academic pursuits. A proud Indiana Hoosier, he expresses his unique style through his love for Hawaiian shirts. Although not yet account verified, he has a solid social media presence with 157 friends and 162 followers, having shared 3,561 statuses and favorited 1,002 posts."
