,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,tweets_id,activity_level_frequency,activity_level,user_char
0,15513604,FOX & Friends,foxandfriends,"User 'foxandfriends' is a verified account representing America's #1 cable morning news show, based in New York City. With a substantial following of 418,641 and a friends count of 1,859, they actively engage on social media, showcasing a diverse array of 21,559 statuses and 1,923 favorites.",2008-07-21 10:50:09+0000,418641,1859,[],[],['BREAKING: 148 feared dead in crashed #Germanwings flight http://t.co/bnEGQsxBFL'],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User 'foxandfriends' is a verified account representing America's #1 cable morning news show, based in New York City. With a substantial following of 418,641 and a friends count of 1,859, they actively engage on social media, showcasing a diverse array of 21,559 statuses and 1,923 favorites."
1,705757314,V,VLM_va,"VLM_va is a combat veteran of the U.S. Army, currently residing in Fort Hood, Texas. Although their account is not verified, they have a network of 97 friends and 27 followers. With a total of 432 statuses and 43 favorites, VLM_va actively engages with their online community.",2012-07-19 20:46:43+0000,27,97,['15513604'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"VLM_va is a combat veteran of the U.S. Army, currently residing in Fort Hood, Texas. Although their account is not verified, they have a network of 97 friends and 27 followers. With a total of 432 statuses and 43 favorites, VLM_va actively engages with their online community."
2,2172730629,Mr.J,doe_saturn75,"User doe_saturn75 is a passionate Seattle Seahawks fan, proudly sporting the hashtags #12s and #GoHawks. They have a love for Rock'n'Roll music and honor beloved musicians, never forgetting Jan Kuehnemund, Michelle Meldrum, and Sandy West. Based in 'South of Heaven', they have a vibrant presence on social media, with 3849 statuses, 1953 favorites, and a solid circle of 199 friends, although their account is not verified. They currently have 161 followers.",2013-11-07 23:09:58+0000,161,199,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User doe_saturn75 is a passionate Seattle Seahawks fan, proudly sporting the hashtags #12s and #GoHawks. They have a love for Rock'n'Roll music and honor beloved musicians, never forgetting Jan Kuehnemund, Michelle Meldrum, and Sandy West. Based in 'South of Heaven', they have a vibrant presence on social media, with 3849 statuses, 1953 favorites, and a solid circle of 199 friends, although their account is not verified. They currently have 161 followers."
3,1905195793,Mike,sundnce99,"sundnce99 is a retired Captain from the New York City Police Department, currently residing in Long Island, NY. With a strong belief in the wisdom of the founding fathers compared to Barack Obama, they engage actively on social media, with over 4,000 statuses posted. Although their account is not verified, they have a close-knit community of 71 friends and 85 followers.",2013-09-25 19:23:43+0000,85,71,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"sundnce99 is a retired Captain from the New York City Police Department, currently residing in Long Island, NY. With a strong belief in the wisdom of the founding fathers compared to Barack Obama, they engage actively on social media, with over 4,000 statuses posted. Although their account is not verified, they have a close-knit community of 71 friends and 85 followers."
4,2917598389,Bob Cook,charliebob1029,"Charliebob1029 is an active social media user located in AJ, AZ. Although their account is not verified, they have a friend network of 133 connections and a following of 23 people. They have posted 94 statuses and have expressed their interests through 32 favorites.",2014-12-03 12:41:45+0000,23,133,['15513604'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Charliebob1029 is an active social media user located in AJ, AZ. Although their account is not verified, they have a friend network of 133 connections and a following of 23 people. They have posted 94 statuses and have expressed their interests through 32 favorites."
5,2410937718,JOSIAH SOZI FOTLEX,JosiahFotlex,"JosiahFotlex is a passionate Film and TV journalist, writer, actor, and weightlifter currently studying Journalism and Communication. An avid follower of #TeamJesus, he believes in greatness and is an enthusiastic supporter of WWE, UFC, and MMA. With a growing community of 981 followers and 976 friends, he shares his insights and adventures while also expressing his desire to travel the world. His account showcases 623 statuses and 230 favorites, reflecting his active engagement in the digital space.",2014-03-25 12:31:56+0000,981,976,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"JosiahFotlex is a passionate Film and TV journalist, writer, actor, and weightlifter currently studying Journalism and Communication. An avid follower of #TeamJesus, he believes in greatness and is an enthusiastic supporter of WWE, UFC, and MMA. With a growing community of 981 followers and 976 friends, he shares his insights and adventures while also expressing his desire to travel the world. His account showcases 623 statuses and 230 favorites, reflecting his active engagement in the digital space."
6,2482736803,Buddy743,Buddy743,"Buddy743 is a retired individual based in Richmond, VA. With an active presence, they have shared 476 statuses and accumulated 276 favourites. Despite having a network of 159 friends, they currently have 44 followers. Their account is not verified.",2014-05-07 20:36:13+0000,44,159,['15513604'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Buddy743 is a retired individual based in Richmond, VA. With an active presence, they have shared 476 statuses and accumulated 276 favourites. Despite having a network of 159 friends, they currently have 44 followers. Their account is not verified."
7,2602613003,Liberty Rising,roeye22,"Roeye22 is a passionate individual from the Florida Keys, embracing a Born Again Constitutional Conservative ideology. They express deep reverence for God, highlighting values of holiness and righteousness, and exhibit a strong commitment to family and country, indicating a willingness to defend both. With a sizeable social media presence, boasting over 1,600 friends and 1,200 followers, Roeye22 actively shares their views, evident in their nearly 2,500 statuses and 2,800 favorites.",2014-06-12 01:26:31+0000,1205,1667,['15513604'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Roeye22 is a passionate individual from the Florida Keys, embracing a Born Again Constitutional Conservative ideology. They express deep reverence for God, highlighting values of holiness and righteousness, and exhibit a strong commitment to family and country, indicating a willingness to defend both. With a sizeable social media presence, boasting over 1,600 friends and 1,200 followers, Roeye22 actively shares their views, evident in their nearly 2,500 statuses and 2,800 favorites."
8,15655810,madest,madest,"User 'madest' is an active individual from the DC Suburbs, known for their unique typing style, as they humorously mention typing with their pinky. Despite not having a verified account, they have built a network of 200 friends and 55 followers. With a total of 2,250 statuses and 44 favorites, 'madest' engages frequently on the platform.",2008-07-30 03:17:38+0000,55,200,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User 'madest' is an active individual from the DC Suburbs, known for their unique typing style, as they humorously mention typing with their pinky. Despite not having a verified account, they have built a network of 200 friends and 55 followers. With a total of 2,250 statuses and 44 favorites, 'madest' engages frequently on the platform."
9,1068809875,canthavepudding,canthavepudding,"User 'canthavepudding' identifies primarily with left/centre political views, aligning mostly with the left. A self-proclaimed republican and sports fan, this single dad approaches life with a cynical outlook and identifies as agnostic. He is a seeker of knowledge and passionately opposes right-wing politics. Based in Australia (OZ), he has a network of 1,977 friends and 1,626 followers, with an impressive 27,913 statuses posted and 2,709 favorites.",2013-01-07 17:17:12+0000,1626,1977,"['1399838677', '15513604']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User 'canthavepudding' identifies primarily with left/centre political views, aligning mostly with the left. A self-proclaimed republican and sports fan, this single dad approaches life with a cynical outlook and identifies as agnostic. He is a seeker of knowledge and passionately opposes right-wing politics. Based in Australia (OZ), he has a network of 1,977 friends and 1,626 followers, with an impressive 27,913 statuses posted and 2,709 favorites."
